科目代碼,會計科目,日期,傳票號碼,種類,摘要,本幣借方金額,本幣貸方金額,借貸,餘額,幣別,匯率,原幣借方金額,原幣貸方金額
1110,銀行存款 ,2024/12/30,11212300007,3,合庫-雙和 ,0.0,"500,000",借,12021575.0,CNY,4.503,0.0,111037.09
1290,進項稅額 ,2024/12/30,11212300001,3,,4624500.0,0,借,659311.0,USD,32.775,141098.4,0.0
1470,未完工程及待驗設備 ,2024/12/30,11212300001,3,製程控制盤及相關設備製 作 三期安裝款15% ,66300000.0,0,借,185106599.0,USD,32.775,2022883.3,0.0
1470,未完工程及待驗設備 ,2024/12/30,11212300001,3,配線設備及變頻器.乙太?蘢?增設第三期安裝款15% ,26190500.0,0,借,185368504.0,USD,32.775,799099.92,0.0
2120,應付票據 ,2024/12/30,11212300001,3,3/31FA6572938(金元彬) ,0.0,"97,115,000",貸,14135386.0,USD,32.775,0.0,2963081.62
2120,應付票據 ,2024/12/30,11212300004,3,佳興.鎧允.先鋒.富淇.盈 利. 宏裕等 ,472009900.0,0,貸,9415287.0,USD,32.775,14401522.5,0.0
2120-001,其他應付票據 ,2024/12/30,11212300004,3,台灣工銀 ,35499200.0,0,借,3363445.0,USD,32.775,1083118.23,0.0
5595,製-消耗品費 ,2024/12/23,11212230001,3,溶劑一批 ,1747200.0,0,借,1214154.0,CNY,4.495,3108456.76,0.0
5595,製-消耗品費 ,2024/12/27,11212270001,3,五金用品等 ,5440300.0,0,借,1268557.0,CNY,4.503,7353559.48,0.0
6230,其他費用 ,2024/12/30,11212300003,3,健保滯納金 ,11800.0,0,借,1841916.0,JPY,0.2093,56378.4,0.0
6230,其他費用 ,2024/12/30,11212300003,3,建物登記費用及規費等 ,4000000.0,0,借,1881916.0,JPY,0.2093,19111323.46,0.0
6230,其他費用 ,2024/12/30,11212300003,3,匯費 ,6000.0,0,借,1881976.0,JPY,0.2093,28666.99,0.0
6230,其他費用 ,2024/12/30,11212300003,3,年度帳費(含購發票) ,600000.0,0,借,1887976.0,JPY,0.2093,2866698.52,0.0
6230,其他費用 ,2024/12/30,11212300007,3,空污連續監測審查費 ,500000.0,0,借,1892976.0,CNY,4.503,111037.09,0.0
8010,利息支出 ,2024/12/30,11212300005,3,廠融貸款利息 ,7621000.0,0,借,3782376.0,JPY,0.2093,36411849.02,0.0
8010,利息支出 ,2024/12/30,11212300006,3,土地貸款利息 ,7711700.0,0,借,3859493.0,USD,32.775,235292.14,0.0
1290,進項稅額 ,2024/12/31,11212310003,3,,2150000.0,0,借,680811.0,JPY,0.2119,10146295.42,0.0
1290,進項稅額 ,2024/12/31,11212310004,3,,52300.0,0,借,681334.0,JPY,0.2119,246814.54,0.0
1290,進項稅額 ,2024/12/31,11212310005,3,,428600.0,0,借,685620.0,CNY,4.503,95180.99,0.0
1290,進項稅額 ,2024/12/31,11212310012,3,,64800.0,0,借,686268.0,CNY,4.503,14390.41,0.0
1290,進項稅額 ,2024/12/31,11212310015,3,11-12月 ,0.0,"67,875,900",借,7509.0,CNY,4.503,0.0,15073484.34
1295,留抵稅額 ,2024/12/31,11212310015,3,9-10月 ,0.0,"1,113,295,700",借,0.0,CNY,4.503,0.0,247234221.63
1295,留抵稅額 ,2024/12/31,11212310015,3,11-12月 ,1181171600.0,0,借,11811716.0,CNY,4.503,262307705.97,0.0
1445,累計折舊-機器設備 ,2024/12/31,11212310013,3,108年提列 ,0.0,"397,883,600",貸,20225750.0,USD,32.835,0.0,12117667.12
1465,累計折舊-辦公設備 ,2024/12/31,11212310013,3,108年提列 ,0.0,"2,878,100",貸,79888.0,USD,32.835,0.0,87653.42
1470,未完工程及待驗設備 ,2024/12/31,11212310005,3,分析儀尾款 ,8571400.0,0,借,185454218.0,CNY,4.503,1903486.56,0.0
1495,累計折舊-其他固定資產 ,2024/12/31,11212310013,3,108年提列 ,0.0,"2,081,700",貸,38451.0,USD,32.835,0.0,63398.81
2145,應付費用 ,2024/12/31,11212310001,3,應付款 ,0.0,"73,292,500",貸,1523492.0,JPY,0.2119,0.0,345882491.74
